"","SPECIES","BOULT REEF.1","BOULT REEF.2","BOULT REEF.3","BROOMFIELD REEF.1","BROOMFIELD REEF.2","BROOMFIELD REEF.3","ERSKINE REEF.1","ERSKINE REEF.2","ERSKINE REEF.3","FAIRFAX ISLANDS REEF.1","FAIRFAX ISLANDS REEF.2","FAIRFAX ISLANDS REEF.3","HOSKYN ISLANDS REEF.1","HOSKYN ISLANDS REEF.2","HOSKYN ISLANDS REEF.3","LADY MUSGRAVE REEF.1","LADY MUSGRAVE REEF.2","LADY MUSGRAVE REEF.3","MAST HEAD REEF.1","MAST HEAD REEF.2","MAST HEAD REEF.3","NORTH REEF (NORTH).1","NORTH REEF (NORTH).2","NORTH REEF (NORTH).3"
"52","Chaetodon lineolatus",0.266666666666667,0,0,0.266666666666667,0,0,0.533333333333333,0.266666666666667,0.266666666666667,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0.533333333333333,0
"53","Chaetodon lunula",0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Chaetodon lunulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Chaetodon melannotus",0,0.266666666666667,0,0.266666666666667,0,4.26666666666667,0.8,1.6,0.533333333333333,0.533333333333333,0,0,0,0,0,0,0,0,1.86666666666667,2.4,0.266666666666667,0,0.533333333333333,0.8
"56","Chaetodon mertensii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Chaetodon meyeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Chaetodon ornatissimus",0.533333333333333,0,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0.533333333333333,0.533333333333333,0,0.266666666666667,0,0,0,0,0,0.266666666666667
"59","Chaetodon oxycephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"60","Chaetodon pelewensis",3.73333333333333,0.8,0,0.533333333333333,0,0,0,0,0,2.13333333333333,0,0.533333333333333,0.266666666666667,0,0,2.13333333333333,0,0,0,0,0,1.06666666666667,0.533333333333333,0.533333333333333
"61","Chaetodon plebeius",0.533333333333333,0.266666666666667,0,0.266666666666667,1.06666666666667,0.8,0.533333333333333,1.06666666666667,0.8,0,0,0.266666666666667,0,0,0,0,0,0.266666666666667,0.266666666666667,0.8,0.533333333333333,0.8,0.266666666666667,0.8
